# Max value = 2.07e-01, Min value = -1.11e-03
idx f1 f2 f3 
55 0.00949818 0.192039 0.102503 
56 0.0101216 0.19226 0.0954739 
57 0.0110256 0.191345 0.0892529 
58 0.0117814 0.190119 0.0830249 
59 0.0127515 0.18828 0.076894 
60 0.0140942 0.184483 0.069956 
61 0.0153778 0.181521 0.0655352 
62 0.0167593 0.177681 0.0609485 
63 0.0183261 0.173705 0.0566888 
64 0.0201328 0.169333 0.0526313 
65 0.0222633 0.164647 0.0487641 
66 0.0249031 0.15822 0.044368 
67 0.0270798 0.154291 0.0416403 
68 0.0295712 0.149477 0.0385617 
69 0.0324654 0.143882 0.0358839 
70 0.0354985 0.138451 0.0332812 
71 0.0388223 0.13326 0.03072 
72 0.0427369 0.126909 0.0283706 
73 0.046368 0.121947 0.0260924 
74 0.0501714 0.116004 0.0240404 
75 0.0537732 0.111841 0.0224025 
76 0.0579179 0.106034 0.0207091 
77 0.0620493 0.101322 0.019201 
78 0.0664922 0.0961111 0.0174931 
79 0.0705088 0.0911255 0.0162396 
80 0.0749806 0.0862233 0.0148585 
81 0.0796289 0.081196 0.0136116 
82 0.0839784 0.0764585 0.0123489 
83 0.0881338 0.07201 0.0114439 
84 0.0915215 0.0687314 0.0106781 
85 0.09601 0.0640307 0.00953771 
86 0.100336 0.0596798 0.00854397 
87 0.104266 0.0557781 0.00779332 
88 0.10802 0.052198 0.00708314 
89 0.111094 0.0493305 0.00639377 
90 0.114197 0.0464433 0.00576123 
91 0.117712 0.0432827 0.00511722 
92 0.12082 0.0402537 0.00457609 
93 0.123519 0.0376636 0.00418859 
94 0.126717 0.0347207 0.00382948 
95 0.12942 0.0323781 0.00321935 
96 0.131493 0.0301891 0.002868 
97 0.13373 0.0278397 0.0024224 
98 0.135506 0.0260602 0.00211489 
99 0.137091 0.0243232 0.00171199 
100 0.138744 0.0223937 0.00143572 
101 0.139964 0.020845 0.00122147 
102 0.140935 0.0191225 0.000885381 
103 0.142171 0.0176158 0.000697718 
104 0.143137 0.0160733 0.000473725 
105 0.143986 0.0148595 0.000184005 
106 0.144275 0.0138188 0.00011593 
107 0.144526 0.0129292 -6.71912e-05 
108 0.144561 0.0120013 -0.000144702 
109 0.144581 0.0108064 -0.000329179 
110 0.144539 0.0100759 -0.000472406 
111 0.144013 0.00914913 -0.000604404 
112 0.142576 0.00836237 -0.00073638 
113 0.141947 0.00756534 -0.000783091 
114 0.14008 0.00715669 -0.000727148 
115 0.138555 0.00632798 -0.000838105 
116 0.136681 0.00607497 -0.000845839 
117 0.134933 0.00536829 -0.000898178 
118 0.132824 0.00484947 -0.000928747 
119 0.130972 0.0043939 -0.00110892 
120 0.129295 0.00426699 -0.00105629 
121 0.126889 0.00389105 -0.00104444 
122 0.124451 0.00345875 -0.00102529 
123 0.12236 0.00293985 -0.00110778 
124 0.120135 0.00264803 -0.00105218 
125 0.117422 0.00240365 -0.00110559 
126 0.114838 0.00229854 -0.000988747 
127 0.112619 0.00204711 -0.0010579 
128 0.109649 0.00189529 -0.00103914 
129 0.107101 0.00165888 -0.00105229 
130 0.104281 0.00163326 -0.0010097 
131 0.101948 0.00143346 -0.000924112 
132 0.0991732 0.0011741 -0.000985018 
133 0.0961255 0.0011599 -0.000839091 
134 0.0934176 0.00108914 -0.000820267 
135 0.0904501 0.00100221 -0.000854463 
136 0.0877327 0.00104459 -0.000685687 
137 0.0851317 0.000911469 -0.000771622 
138 0.0826447 0.00077723 -0.000781849 
139 0.0803016 0.000757711 -0.000718389 
140 0.078266 0.000803737 -0.000648744 
141 0.0759641 0.000757631 -0.000659265 
142 0.0738078 0.000770788 -0.00049123 
143 0.0717688 0.000708904 -0.000556682 
144 0.0698397 0.000664959 -0.000555578 
145 0.0674919 0.000701392 -0.000429249 
146 0.0654571 0.000752373 -0.000386026 
147 0.0632919 0.000837725 -0.000415138 
148 0.0611266 0.000710213 -0.000375278 
149 0.0591161 0.000706105 -0.000341558 
150 0.056983 0.000732515 -0.00032532 
151 0.0548312 0.000800975 -0.00023166 
152 0.0536483 0.0007856 -0.000227735 
153 0.0515739 0.000801009 -0.000214408 
154 0.049775 0.000729824 -0.000195256 
155 0.0478635 0.000807681 -0.000153241 
156 0.0460167 0.000831205 -5.36653e-05 
157 0.0441421 0.000813108 6.72619e-06 
158 0.0425153 0.000797661 -1.94032e-05 
159 0.0409826 0.000868873 -2.46086e-05 
160 0.0394967 0.000813165 6.29003e-05 
161 0.0380291 0.000865181 7.0814e-05 
162 0.0366802 0.00081968 4.07035e-05 
163 0.0350319 0.000807983 8.80011e-05 
164 0.0337167 0.0008775 0.000136543 
165 0.0324705 0.000860458 0.000143808 
166 0.0311404 0.000857567 0.000160789 
167 0.0296352 0.000842834 0.000219218 
168 0.0285961 0.00087904 0.000268456 
169 0.0276315 0.00090184 0.000223022 
170 0.0266938 0.000902618 0.00023906 
171 0.0257823 0.000911553 0.000265306 
172 0.0246403 0.000906644 0.000292568 
173 0.0235117 0.000902794 0.000343975 
174 0.022429 0.000937773 0.00030372 
175 0.0214546 0.000922478 0.000357875 
176 0.0206144 0.000876166 0.00038288 
177 0.0197203 0.000878324 0.000377999 
178 0.0188857 0.000903315 0.000417159 
179 0.0181435 0.000856339 0.000413941 
180 0.0174911 0.000887663 0.000428015 
181 0.0167515 0.000891599 0.000478832 
182 0.0160095 0.000857193 0.000435908 
183 0.0154191 0.000856153 0.000438654 
184 0.014659 0.000796903 0.000479468 
185 0.0139699 0.000822103 0.000442838 
186 0.0134553 0.000758408 0.000454715 
187 0.0129468 0.000787961 0.000478496 
188 0.0123669 0.000778889 0.000493708 
189 0.0119652 0.000793798 0.000501552 
190 0.011552 0.000794556 0.000494703 
191 0.0110907 0.000756171 0.000509824 
192 0.0105224 0.000777729 0.000531445 
193 0.0101786 0.000756998 0.000546439 
194 0.00978468 0.000742565 0.000562208 
195 0.00936183 0.000746957 0.000552561 
196 0.00886506 0.000703102 0.000543883 
197 0.00847589 0.00070435 0.000557931 
198 0.0081091 0.000723726 0.000602578 
199 0.00783972 0.000707979 0.000542609 
200 0.00734672 0.000692485 0.000617304 
201 0.00711682 0.000662416 0.000601453 
